feature,shap_importance
TG（甘油三酯）,0.21258006162411905
TC（总胆固醇）,0.1834583229732789
血尿酸,0.03115817842907088
HDL-C（高密度脂蛋白）,0.014224965296097
年龄组_3,0.007138593047801678
吸烟史_1,0.0043774210170705406
饮酒史_1,0.0037719177756532192
气虚质,0.003714256106037254
气郁质,0.0035886589710973993
性别_1,0.00314626099441098
dominant_tizhi,0.0029666066073940657
空腹血糖,0.0028333151584257147
血瘀质,0.002286903592709158
湿热质,0.001315816569532824
tanshi_BMI,0.0012660437855989458
IADL总分,0.0009540291761426958
年龄组_5,0.0008901738502565473
平和质,0.0006169017592581602
阳虚质,0.0005809632161626363
ADL总分,0.0005344485314518105
阴虚质,0.0004590494314760214
年龄组_2,0.0004007776290825471
年龄组_4,0.00038909801327304536
LDL-C（低密度脂蛋白）,0.00038134217647720146
BMI,0.0003404698733660188
痰湿质,0.00032329388548029016
特禀质,0.0002870714886918507
活动量表总分（ADL总分+IADL总分）,0.0002867414587208449
tanshi_activity,9.745150806185645e-05
