feature,importance_reg,importance_clf,imp_reg_norm,imp_clf_norm,score_arith,score_geo
TC（总胆固醇）,0.10454440910966652,0.35510164761844437,0.5575911026939228,0.9461570896187386,0.7518740961563306,0.726339297382556
TG（甘油三酯）,0.09819597065456438,0.37515137902892165,0.4593400568014575,1.0,0.7296700284007287,0.6777463071101587
血尿酸,0.08692950975456724,0.1568468521882293,0.2849756718019221,0.41375019775253563,0.3493629347772289,0.34337842180705963
HDL-C（高密度脂蛋白）,0.11309843228977445,0.04043479996783008,0.6899766853813547,0.10112936674597836,0.39555302606366655,0.2641531852204428
LDL-C（低密度脂蛋白）,0.10102646526521511,0.05210786054645212,0.5031459561350041,0.13247699638461502,0.31781147625980954,0.25817680959340755
空腹血糖,0.10949657695053688,0.00666014206879468,0.6342328899998244,0.010428606661719613,0.322330748330772,0.08132751896949673
BMI,0.1331304219202703,0.004599467182818825,1.0,0.004894730374851544,0.5024473651874257,0.06996234969504343
ADL总分,0.09983322145647361,0.003244377056639369,0.48467882393506295,0.0012556793208167096,0.24296725162793983,0.024669843462272342
IADL总分,0.08522903251401338,0.0027767939906090566,0.25865838628638316,0.0,0.12932919314319158,0.0
活动量表总分（ADL总分+IADL总分）,0.06851596008491809,0.0030766803512606144,0.0,0.0008053351992878442,0.0004026675996439221,0.0
