feature,contribution
TC（总胆固醇）,49.55492738891751
TG（甘油三酯）,46.27278708316965
tanshi_空腹血糖,37.0722171157682
tanshi_TG,19.92664200270643
tanshi_TC,13.017945887170901
tanshi_HDL-C,12.114227021715738
tanshi_activity,11.816037801791248
tanshi_LDL-C,9.61826295305777
tanshi_血尿酸,4.882458543674558
血尿酸,1.647859884684995
IADL总分,1.542168755447674
LDL-C（低密度脂蛋白）,1.21641648431608
BMI,1.2162908692990404
HDL-C（高密度脂蛋白）,0.9469148525688025
空腹血糖,0.8660021024442726
活动量表总分（ADL总分+IADL总分）,0.6241510353976043
ADL总分,0.47703179781079963
痰湿质,0.3139409781219
tanshi_BMI,0.057520181575344095
