feature,coefficient,abs_coef
痰湿质,-1.1924759028797534,1.1924759028797534
空腹血糖,-1.1916701325787882,1.1916701325787882
ADL总分,-1.1827679459905005,1.1827679459905005
BMI,-1.181241158917089,1.181241158917089
活动量表总分（ADL总分+IADL总分）,-1.1634464356401286,1.1634464356401286
IADL总分,-1.130018271122592,1.130018271122592
TC（总胆固醇）,0.9531884186345646,0.9531884186345646
TG（甘油三酯）,0.9466087550426177,0.9466087550426177
血尿酸,-0.3806166717192734,0.3806166717192734
LDL-C（低密度脂蛋白）,0.13420683498670516,0.13420683498670516
HDL-C（高密度脂蛋白）,0.061276509515030025,0.061276509515030025
