特征,分箱区间,WOE,分数贡献
TG（甘油三酯）,"[0.0, 1.7)",0.3414,-0.65
TG（甘油三酯）,"[1.7, 2.3)",23.0259,-44.12
TG（甘油三酯）,"[2.3, inf)",23.0259,-44.12
TC（总胆固醇）,"[0.0, 5.2)",0.3240,-0.63
TC（总胆固醇）,"[5.2, 6.2)",0.6592,-1.27
TC（总胆固醇）,"[6.2, inf)",23.0259,-44.42
HDL-C（高密度脂蛋白）,"[0.0, 1.04)",23.0259,-2.86
HDL-C（高密度脂蛋白）,"[1.04, 1.55)",1.1377,-0.14
HDL-C（高密度脂蛋白）,"[1.55, inf)",1.1564,-0.14
LDL-C（低密度脂蛋白）,"[0.0, 2.6)",1.0756,-0.29
LDL-C（低密度脂蛋白）,"[2.6, 3.4)",1.4165,-0.38
LDL-C（低密度脂蛋白）,"[3.4, inf)",23.0259,-6.25
空腹血糖,"[0.0, 6.1)",1.3479,3.25
空腹血糖,"[6.1, 7.0)",1.3705,3.31
空腹血糖,"[7.0, inf)",0.8473,2.04
血尿酸,"[0.0, 420.0)",0.7891,0.61
血尿酸,"[420.0, inf)",3.7257,2.87
ADL总分,"[0.0, 14.0)",1.0986,2.63
ADL总分,"[14.0, 20.0)",1.2217,2.92
ADL总分,"[20.0, inf)",1.3886,3.32
IADL总分,"[0.0, 8.0)",1.6094,3.68
IADL总分,"[8.0, 16.0)",0.6286,1.44
IADL总分,"[16.0, inf)",1.4018,3.21
活动量表总分（ADL总分+IADL总分）,"[0.0, 40.0)",1.0986,2.59
活动量表总分（ADL总分+IADL总分）,"[40.0, 60.0)",1.3697,3.23
活动量表总分（ADL总分+IADL总分）,"[60.0, inf)",1.4816,3.49
痰湿质,"[0.0, 40.0)",1.4062,3.39
痰湿质,"[40.0, 60.0)",1.2487,3.01
痰湿质,"[60.0, inf)",1.2212,2.95
BMI,"[0.0, 24.0)",1.3364,3.20
BMI,"[24.0, 28.0)",1.4491,3.46
BMI,"[28.0, inf)",0.6931,1.66
