feature,interaction_strength
痰湿质,0.002373884023593254
TG（甘油三酯）,0.0008659917618976424
TC（总胆固醇）,0.0005623374938588319
LDL-C（低密度脂蛋白）,0.0004001032212539864
tanshi_LDL-C,0.00038042930512792266
tanshi_activity,0.00037330630576007086
ADL总分,0.00037102467536055336
湿热质,0.0003601918131101465
血瘀质,0.00031934803480473495
空腹血糖,0.0002896402282357662
tanshi_BMI,0.00027525401147138336
气虚质,0.0002440987607703367
血尿酸,0.00024084962046339581
tanshi_TC,0.00023011695690468837
dominant_tizhi,0.00020807404111091598
活动量表总分（ADL总分+IADL总分）,0.00020569103185074844
气郁质,0.00019802934885574308
平和质,0.00018669865711228953
HDL-C（高密度脂蛋白）,0.0001755352091021431
特禀质,0.000165677718369126
阳虚质,0.00014813291567222127
BMI,0.0001331705378373302
阴虚质,8.711601430706271e-05
tanshi_空腹血糖,7.370474853269793e-05
IADL总分,7.1631262673948e-05
年龄组_2,7.039916849911667e-05
tanshi_HDL-C,2.308083339053994e-05
tanshi_TG,2.5643569547729253e-20
tanshi_血尿酸,2.329340604949326e-21
年龄组_3,0.0
年龄组_4,0.0
年龄组_5,0.0
性别_1,0.0
吸烟史_1,0.0
饮酒史_1,0.0
